Pattern Duration Time% Call ModelNum NormalizedTime
aten::clamp_min, 0.024 0.02587489488396482740 2 2 0.01293744744198241370
aten::log2, 0.041 0.02409339930510755526 7 5 0.00481867986102151123
aten::reciprocal, 0.095 0.02399194414705210429 28 17 0.00141129083217953551
aten::fill_, 1.709 0.02211877093726277374 1405 17 0.00130110417278016320
aten::dropout_, 0.007 0.02049763681632304352 7 7 0.00292823383090329206
aten::floor, 0.033 0.01912913382754378652 7 5 0.00382582676550875713
aten::constant_pad_nd, 140.577 0.00967341342822871514 376 16 0.00060458833926429470
aten::is_nonzero, 17.420 0.00941196260807089340 8096 11 0.00085563296437008124
aten::lt, 13.067 0.00810474546230397809 7525 13 0.00062344195863876751
aten::mul_, 124.473 0.00536310554876117535 9044 5 0.00107262110975223503
aten::expand, 4.432 0.00470598104546742727 1084 49 0.00009604042949933525
aten::alias, 0.012 0.00313732051912196880 7 1 0.00313732051912196880
aten::clone, 0.169 0.00185328949554748297 6 2 0.00092664474777374149
aten::ceil, 0.007 0.00144144737790425910 2 1 0.00144144737790425910
aten::matmul, 488.008 0.00000002949472375830 6200 121 0.00000000024375804759
aten::cross_entropy_loss, 412.761 0.00000002494659616537 454 103 0.00000000024219996277
aten::einsum, 382.111 0.00000002309435277481 1715 18 0.00000000128301959860
aten::layer_norm, 371.421 0.00000002244878379060 11838 127 0.00000000017676207709
aten::bmm, 347.411 0.00000002099787572670 12241 10 0.00000000209978757267
aten::masked_fill, 180.140 0.00000001088780452971 3248 11 0.00000000098980041179
autograd::engine::evaluate_function:ConvolutionBackward0, 162.615 0.00000000982863086272 768 1 0.00000000982863086272
aten::index_select, 118.945 0.00000000718884312183 145 12 0.00000000059907026015
aten::addmm, 117.112 0.00000000707819321972 192 4 0.00000000176954830493
aten::gelu, 77.250 0.00000000466888570704 1349 119 0.00000000003923433367
aten::lstm, 76.624 0.00000000463123951527 4 2 0.00000000231561975764
_ReversibleFunction, 72.165 0.00000000436173273572 1 1 0.00000000436173273572
aten::pixel_shuffle, 54.063 0.00000000326762795844 600 1 0.00000000326762795844
aten::rsub, 53.944 0.00000000326041871501 1962 117 0.00000000002786682662
aten::conv_transpose1d, 46.687 0.00000000282181425517 6 1 0.00000000282181425517
autograd::engine::evaluate_function:NativeBatchNormBackward0, 37.971 0.00000000229500933179 768 1 0.00000000229500933179
aten::pow, 29.077 0.00000000175739751016 3066 22 0.00000000007988170501
aten::conv1d, 24.712 0.00000000149362079109 18 1 0.00000000149362079109
aten::masked_fill_, 22.182 0.00000000134064649582 431 24 0.00000000005586027066
aten::ones, 20.562 0.00000000124278713235 3377 10 0.00000000012427871324
autograd::engine::evaluate_function:ReluBackward0, 15.686 0.00000000094807922832 768 1 0.00000000094807922832
aten::flip, 12.388 0.00000000074871380912 344 8 0.00000000009358922614
autograd::engine::evaluate_function:AddmmBackward0, 11.771 0.00000000071145228844 192 1 0.00000000071145228844
aten::type_as, 9.873 0.00000000059672382147 4519 37 0.00000000001612767085
autograd::engine::evaluate_function:SubBackward0, 9.386 0.00000000056730024461 3503 1 0.00000000056730024461
aten::tanh, 9.337 0.00000000056432606240 155 69 0.00000000000817863859
aten::log_softmax, 9.068 0.00000000054807994860 498 2 0.00000000027403997430
aten::log, 8.994 0.00000000054360130122 98 4 0.00000000013590032530
aten::grid_sampler, 7.851 0.00000000047452318327 6 1 0.00000000047452318327
aten::new_ones, 6.589 0.00000000039823399379 302 9 0.00000000004424822153
aten::instance_norm, 5.968 0.00000000036071252780 23 1 0.00000000036071252780
aten::ones_like, 5.057 0.00000000030565062581 658 3 0.00000000010188354194
